"Severity","Type","Message","Component","Line","Rule","Status","CreatedAt"
"MINOR","CODE_SMELL","Remove this unused import 'com.example.demo.entity.User'.","kaushikd123-hub_copilot-autofix-dependabot-demo:src/test/java/com/example/demo/service/UserServiceTest.java","4","java:S1128","OPEN",
"MINOR","CODE_SMELL","Remove this unused import 'com.example.demo.repository.UserRepository'.","kaushikd123-hub_copilot-autofix-dependabot-demo:src/test/java/com/example/demo/service/UserServiceTest.java","5","java:S1128","OPEN",
"MINOR","CODE_SMELL","Remove this unused import 'com.example.demo.exception.UserNotFoundException'.","kaushikd123-hub_copilot-autofix-dependabot-demo:src/test/java/com/example/demo/service/UserServiceTest.java","6","java:S1128","OPEN",
"MINOR","CODE_SMELL","Remove this unused import 'com.example.demo.exception.UserAlreadyExistsException'.","kaushikd123-hub_copilot-autofix-dependabot-demo:src/test/java/com/example/demo/service/UserServiceTest.java","7","java:S1128","OPEN",
"MINOR","CODE_SMELL","Remove this unused import 'jakarta.persistence.EntityManager'.","kaushikd123-hub_copilot-autofix-dependabot-demo:src/test/java/com/example/demo/service/UserServiceTest.java","8","java:S1128","OPEN",
"MINOR","CODE_SMELL","Remove this unused import 'org.junit.jupiter.api.BeforeEach'.","kaushikd123-hub_copilot-autofix-dependabot-demo:src/test/java/com/example/demo/service/UserServiceTest.java","9","java:S1128","OPEN",
"MINOR","CODE_SMELL","Remove this unused import 'org.junit.jupiter.api.Test'.","kaushikd123-hub_copilot-autofix-dependabot-demo:src/test/java/com/example/demo/service/UserServiceTest.java","10","java:S1128","OPEN",
"MINOR","CODE_SMELL","Remove this unused import 'org.junit.jupiter.api.extension.ExtendWith'.","kaushikd123-hub_copilot-autofix-dependabot-demo:src/test/java/com/example/demo/service/UserServiceTest.java","11","java:S1128","OPEN",
"MINOR","CODE_SMELL","Remove this unused import 'org.mockito.Mock'.","kaushikd123-hub_copilot-autofix-dependabot-demo:src/test/java/com/example/demo/service/UserServiceTest.java","12","java:S1128","OPEN",
"MINOR","CODE_SMELL","Remove this unused import 'org.mockito.junit.jupiter.MockitoExtension'.","kaushikd123-hub_copilot-autofix-dependabot-demo:src/test/java/com/example/demo/service/UserServiceTest.java","13","java:S1128","OPEN",
"MINOR","CODE_SMELL","Remove this unused import 'java.util.Arrays'.","kaushikd123-hub_copilot-autofix-dependabot-demo:src/test/java/com/example/demo/service/UserServiceTest.java","15","java:S1128","OPEN",
"MINOR","CODE_SMELL","Remove this unused import 'java.util.List'.","kaushikd123-hub_copilot-autofix-dependabot-demo:src/test/java/com/example/demo/service/UserServiceTest.java","16","java:S1128","OPEN",
"MINOR","CODE_SMELL","Remove this unused import 'java.util.Optional'.","kaushikd123-hub_copilot-autofix-dependabot-demo:src/test/java/com/example/demo/service/UserServiceTest.java","17","java:S1128","OPEN",
"MINOR","CODE_SMELL","Remove this unused import 'org.junit.jupiter.api.Assertions'.","kaushikd123-hub_copilot-autofix-dependabot-demo:src/test/java/com/example/demo/service/UserServiceTest.java","19","java:S1128","OPEN",
"MAJOR","CODE_SMELL","Remove this unused ""entityManager"" private field.","kaushikd123-hub_copilot-autofix-dependabot-demo:src/main/java/com/example/demo/service/UserService.java","23","java:S1068","OPEN",
"BLOCKER","VULNERABILITY","Add password protection to this database.","kaushikd123-hub_copilot-autofix-dependabot-demo:src/main/java/com/example/demo/service/UserService.java","89","java:S2115","OPEN",
"MAJOR","CODE_SMELL","Remove this block of code, fill it in, or add a comment explaining why it is empty.","kaushikd123-hub_copilot-autofix-dependabot-demo:src/main/java/com/example/demo/service/UserService.java","105","java:S108","OPEN",
"MAJOR","CODE_SMELL","Remove this block of code, fill it in, or add a comment explaining why it is empty.","kaushikd123-hub_copilot-autofix-dependabot-demo:src/main/java/com/example/demo/service/UserService.java","106","java:S108","OPEN",
"MAJOR","CODE_SMELL","Remove this block of code, fill it in, or add a comment explaining why it is empty.","kaushikd123-hub_copilot-autofix-dependabot-demo:src/main/java/com/example/demo/service/UserService.java","107","java:S108","OPEN",
